"","campo","ano","local","estado","lat","long","residuo","incidencia","severidade","especie","quimiotipo","index"
"185",1,2011,"Ijui","RS",-28.068,-53.3935,"soybean",37,1.16,"Fmer","NIV",245
"186",26,2009,"Carazinho","RS",-28.147,-52.301,"corn",21.11,1.19,"Fusarium graminearum","15-ADON",114
"187",26,2009,"Carazinho","RS",-28.147,-52.301,"corn",21.11,1.19,"Fusarium graminearum","15-ADON",115
"188",26,2009,"Carazinho","RS",-28.147,-52.301,"corn",21.11,1.19,"Fusarium graminearum","15-ADON",116
"189",3,2009,"Santa Barbara do Sul","RS",-28.39,-54.6,"soybean",30,1.19,"Fusarium graminearum","15-ADON",540
"190",28,2009,"Nao-me-Toque","RS",-28.245,-52.572,"soybean",24.34,1.24,"Fusarium graminearum","15-ADON",386
"191",6,2009,"Panambi","RS",-28.266,-51.919,"soybean",36.5,1.26,"Fusarium graminearum","15-ADON",418
"192",43,2009,"Carazinho","RS",-28.26,-51.701,"soybean",24,1.27,"Fusarium graminearum","15-ADON",122
"193",43,2009,"Carazinho","RS",-28.26,-51.701,"soybean",24,1.27,"Fusarium graminearum","15-ADON",123
"194",43,2009,"Carazinho","RS",-28.26,-51.701,"soybean",24,1.27,"Fusarium graminearum","15-ADON",124
"195",43,2009,"Carazinho","RS",-28.26,-51.701,"soybean",24,1.27,"Fusarium graminearum","15-ADON",125
"196",8,2011,"Ijui","RS",-28.40275,-53.95239,"soybean",8.5,1.29,"Fasi","NIV",263
"197",8,2011,"Ijui","RS",-28.37331,-53.83989,"soybean",8.5,1.29,"Fasi","NIV",264
"198",8,2011,"Ijui","RS",-28.36456,-53.79106,"soybean",8.5,1.29,"Fusarium graminearum","15-ADON",265
"199",8,2011,"Ijui","RS",-28.38306,-54.03853,"soybean",8.5,1.29,"Fusarium graminearum","15-ADON",266
"200",8,2011,"Ijui","RS",-28.52192,-53.79314,"soybean",8.5,1.29,"Fusarium graminearum","15-ADON",267
"201",36,2011,"Agua Santa","RS",-28.37067,-52.98822,"soybean",40.5,1.31,"Fusarium graminearum","15-ADON",10
"202",29,2010,"Soledade","RS",-28.82419,-52.47372,"soybean",31,1.42,"Fusarium graminearum","15-ADON",580
"203",29,2010,"Soledade","RS",-28.82419,-52.47372,"soybean",31,1.42,"Fusarium graminearum","15-ADON",581
"204",29,2010,"Soledade","RS",-28.077,-52.058,"soybean",31,1.42,"Fusarium graminearum","15-ADON",582
"205",29,2010,"Soledade","RS",-28.077,-52.058,"soybean",31,1.42,"Fusarium graminearum","15-ADON",583
"206",29,2010,"Soledade","RS",-28.077,-52.058,"soybean",31,1.42,"Fusarium graminearum","15-ADON",584
"207",14,2010,"Sertao","RS",-27.97553,-52.22631,"soybean",28.5,1.43,"Fusarium graminearum","15-ADON",571
"208",14,2010,"Sertao","RS",-27.97553,-52.22631,"soybean",28.5,1.43,"Fusarium graminearum","15-ADON",572
"209",14,2010,"Sertao","RS",-28.82419,-52.47372,"soybean",28.5,1.43,"Fusarium graminearum","15-ADON",573
"210",14,2010,"Sertao","RS",-28.82419,-52.47372,"soybean",28.5,1.43,"Fusarium graminearum","15-ADON",574
"211",14,2010,"Sertao","RS",-28.82419,-52.47372,"soybean",28.5,1.43,"Fusarium graminearum","15-ADON",575
"212",20,2011,"Carazinho","RS",-28.40244,-53.07792,"soybean",28.5,1.43,"Fusarium graminearum","15-ADON",113
"213",46,2011,"Tapejara","RS",-28.62231,-52.74708,"soybean",8,1.43,"Fusarium graminearum","15-ADON",603
"214",46,2011,"Tapejara","RS",-28.53642,-52.57522,"soybean",8,1.43,"Fusarium graminearum","15-ADON",604
"215",46,2011,"Tapejara","RS",-28.53642,-52.57522,"soybean",8,1.43,"Fusarium graminearum","15-ADON",605
"216",49,2009,"Entre-Ijuis","RS",-28.344,-51.147,"corn",26.5,1.46,"Fusarium graminearum","15-ADON",207
"217",49,2009,"Entre-Ijuis","RS",-28.358,-54.21,"corn",26.5,1.46,"Fusarium graminearum","15-ADON",208
"218",49,2009,"Entre-Ijuis","RS",-28.358,-54.21,"corn",26.5,1.46,"Fusarium graminearum","15-ADON",209
"219",49,2009,"Entre-Ijuis","RS",-28.39,-53.982,"corn",26.5,1.46,"Fusarium graminearum","15-ADON",210
"220",51,2009,"Sao Miguel das Missoes","RS",-28.39,-54.6,"soybean",21.5,1.49,"Fusarium graminearum","15-ADON",550
"221",51,2009,"Sao Miguel das Missoes","RS",-28.39,-54.6,"soybean",21.5,1.49,"Fusarium graminearum","15-ADON",551
"222",51,2009,"Sao Miguel das Missoes","RS",-28.375,-54.1,"soybean",21.5,1.49,"Fusarium graminearum","15-ADON",552
"223",51,2009,"Sao Miguel das Missoes","RS",-28.375,-54.1,"soybean",21.5,1.49,"Fusarium graminearum","15-ADON",553
"224",51,2009,"Sao Miguel das Missoes","RS",-28.424,-53.926,"soybean",21.5,1.49,"Fusarium graminearum","15-ADON",554
"225",51,2009,"Sao Miguel das Missoes","RS",-28.28964,-51.97308,"soybean",21.5,1.49,"Fmer","NIV",555
"226",38,2011,"Mato Castelhano","RS",-28.64086,-52.85092,"soybean",14.5,1.54,"Fusarium graminearum","15-ADON",375
"227",11,2009,"Pejucara","RS",-27.926,-53.317,"soybean",24.5,1.57,"Fusarium graminearum","15-ADON",463
"228",11,2009,"Pejucara","RS",-28.377,-52.519,"soybean",24.5,1.57,"Fusarium graminearum","15-ADON",464
"229",11,2009,"Pejucara","RS",-28.377,-52.519,"soybean",24.5,1.57,"Fusarium graminearum","15-ADON",465
"230",11,2009,"Pejucara","RS",-28.377,-52.519,"soybean",24.5,1.57,"Fusarium graminearum","15-ADON",466
