field,year,location,state,lat,long,residue,inc,sev,species,genotype
12,2010,Sertao,RS,-28.02719,-52.23219,corn,57.5,3.03,Fgra,15-ADON
12,2010,Sertao,RS,-28.60075,-51.03706,corn,57.5,3.03,Fmer,NIV
13,2010,Sertao,RS,-27.97553,-52.22631,corn,56.5,4.11,Fgra,15-ADON
13,2010,Sertao,RS,-27.97553,-52.22631,corn,56.5,4.11,Fgra,15-ADON
13,2010,Sertao,RS,-27.97553,-52.22631,corn,56.5,4.11,Fgra,15-ADON
14,2010,Sertao,RS,-27.97553,-52.22631,soybean,28.5,1.43,Fgra,15-ADON
14,2010,Sertao,RS,-27.97553,-52.22631,soybean,28.5,1.43,Fgra,15-ADON
14,2010,Sertao,RS,-28.82419,-52.47372,soybean,28.5,1.43,Fgra,15-ADON
14,2010,Sertao,RS,-28.82419,-52.47372,soybean,28.5,1.43,Fgra,15-ADON
14,2010,Sertao,RS,-28.82419,-52.47372,soybean,28.5,1.43,Fgra,15-ADON
31,2011,Sertao,RS,-28.06872,-51.99578,soybean,29.5,0.97,Fgra,15-ADON
31,2011,Sertao,RS,-28.11081,-51.72869,soybean,29.5,0.97,Fgra,15-ADON
31,2011,Sertao,RS,-28.20564,-53.47161,soybean,29.5,0.97,Fmer,NIV
32,2011,Sertao,RS,-28.11081,-51.72869,corn,31,1.64,Fgra,15-ADON
29,2010,Soledade,RS,-28.82419,-52.47372,soybean,31,1.42,Fgra,15-ADON
29,2010,Soledade,RS,-28.82419,-52.47372,soybean,31,1.42,Fgra,15-ADON
29,2010,Soledade,RS,-28.077,-52.058,soybean,31,1.42,Fgra,15-ADON
29,2010,Soledade,RS,-28.077,-52.058,soybean,31,1.42,Fgra,15-ADON
29,2010,Soledade,RS,-28.077,-52.058,soybean,31,1.42,Fgra,15-ADON
9,2010,Tapejara,RS,-28.077,-52.058,soybean,37.5,8.16,Fgra,15-ADON
9,2010,Tapejara,RS,-28.077,-52.058,soybean,37.5,8.16,Fgra,15-ADON
9,2010,Tapejara,RS,-28.14967,-52.12636,soybean,37.5,8.16,Fgra,15-ADON
9,2010,Tapejara,RS,-28.14967,-52.12636,soybean,37.5,8.16,Fgra,15-ADON
9,2010,Tapejara,RS,-28.14967,-52.12636,soybean,37.5,8.16,Fgra,15-ADON
20,2010,Tapejara,RS,-28.14967,-52.12636,corn,44,4.89,Fgra,15-ADON
20,2010,Tapejara,RS,-28.13561,-52.10883,corn,44,4.89,Fgra,15-ADON
20,2010,Tapejara,RS,-28.13561,-52.10883,corn,44,4.89,Fgra,15-ADON
20,2010,Tapejara,RS,-28.13561,-52.10883,corn,44,4.89,Fgra,15-ADON
21,2010,Tapejara,RS,-28.13561,-52.10883,corn,46.5,2.37,Fgra,15-ADON
21,2010,Tapejara,RS,-28.08597,-52.02053,corn,46.5,2.37,Fgra,15-ADON
21,2010,Tapejara,RS,-28.08597,-52.02053,corn,46.5,2.37,Fgra,15-ADON
21,2010,Tapejara,RS,-28.08597,-52.02053,corn,46.5,2.37,Fgra,15-ADON
22,2010,Tapejara,RS,-28.08597,-52.02053,soybean,25,2.05,Fgra,15-ADON
22,2010,Tapejara,RS,-28.35564,-51.11736,soybean,25,2.05,Fgra,15-ADON
22,2010,Tapejara,RS,-28.35564,-51.11736,soybean,25,2.05,Fgra,15-ADON
22,2010,Tapejara,RS,-28.35564,-51.11736,soybean,25,2.05,Fgra,15-ADON
22,2010,Tapejara,RS,-28.60075,-51.03706,soybean,25,2.05,Fmer,NIV
46,2011,Tapejara,RS,-28.62231,-52.74708,soybean,8,1.43,Fgra,15-ADON
46,2011,Tapejara,RS,-28.53642,-52.57522,soybean,8,1.43,Fgra,15-ADON
46,2011,Tapejara,RS,-28.53642,-52.57522,soybean,8,1.43,Fgra,15-ADON
51,2011,Tapejara,RS,-28.11081,-51.72869,soybean,9.5,0.85,Fgra,15-ADON
25,2011,Tapera,RS,-28.53642,-52.57522,soybean,25.5,2.02,Fgra,15-ADON
25,2011,Tapera,RS,-28.37353,-54.12308,soybean,25.5,2.02,Fmer,NIV
23,2011,Tio Hugo,RS,-28.53642,-52.57522,soybean,8,0.25,Fgra,15-ADON
23,2011,Tio Hugo,RS,-28.38472,-51.54639,soybean,8,0.25,Fgra,15-ADON
23,2011,Tio Hugo,RS,-28.52139,-51.07556,soybean,8,0.25,Fgra,15-ADON
23,2011,Tio Hugo,RS,-28.655,-50.79139,soybean,8,0.25,Fgra,15-ADON
32,2009,Tio Hugo,RS,-28.424,-53.926,corn,54.58,7.93,Fgra,15-ADON
32,2009,Tio Hugo,RS,-28.37,-51.092,corn,54.58,7.93,Fgra,15-ADON
33,2009,Tio Hugo,RS,-28.37,-51.092,soybean,60.27,7.36,Fgra,15-ADON
33,2009,Tio Hugo,RS,-28.37,-51.092,soybean,60.27,7.36,Fgra,15-ADON
NA,2009,Toledo,PR,-24.71361111,-53.74305556,NA,NA,NA,Fmer,NIV
NA,2009,Toledo,PR,-24.71361111,-53.74305556,NA,NA,NA,Fmer,NIV
NA,2009,Toledo,PR,-24.71361111,-53.74305556,NA,NA,NA,Fmer,NIV
NA,2009,Toledo,PR,-24.71361111,-53.74305556,NA,NA,NA,Fmer,NIV
NA,2009,Toledo,PR,-24.71361111,-53.74305556,NA,NA,NA,Fmer,NIV
NA,2009,Tupassi,PR,-24.58777778,-53.595,NA,NA,NA,Fgra,15-ADON
NA,2009,Tupassi,PR,-24.58777778,-53.595,NA,NA,NA,Fmer,NIV
NA,2009,Tupassi,PR,-24.58777778,-53.595,NA,NA,NA,Fmer,NIV
NA,2009,Tupassi,PR,-24.58777778,-53.595,NA,NA,NA,Fmer,NIV
42,2010,Vacaria,RS,-28.35564,-51.11736,corn,13,0.73,Fgra,15-ADON
42,2010,Vacaria,RS,-28.35564,-51.11736,corn,13,0.73,Fgra,15-ADON
42,2010,Vacaria,RS,-28.35564,-51.11736,corn,13,0.73,Fgra,15-ADON
42,2010,Vacaria,RS,-28.35564,-51.11736,corn,13,0.73,Fgra,15-ADON
42,2010,Vacaria,RS,-28.39075,-51.05486,corn,13,0.73,Fgra,15-ADON
42,2010,Vacaria,RS,-28.39075,-51.05486,corn,13,0.73,Fgra,15-ADON
42,2010,Vacaria,RS,-28.39075,-51.05486,corn,13,0.73,Fgra,15-ADON
43,2010,Vacaria,RS,-28.39075,-51.05486,corn,30.5,2.09,Fgra,15-ADON
43,2010,Vacaria,RS,-28.39075,-51.05486,corn,30.5,2.09,Fgra,15-ADON
43,2010,Vacaria,RS,-28.39075,-51.05486,corn,30.5,2.09,Fgra,15-ADON
43,2010,Vacaria,RS,-28.42153,-51.03992,corn,30.5,2.09,Fgra,15-ADON
43,2010,Vacaria,RS,-28.42153,-51.03992,corn,30.5,2.09,Fgra,15-ADON
43,2010,Vacaria,RS,-28.42153,-51.03992,corn,30.5,2.09,Fgra,15-ADON
44,2010,Vacaria,RS,-28.45236,-50.99744,corn,14,0.63,Fgra,15-ADON
44,2010,Vacaria,RS,-28.60075,-51.03706,corn,14,0.63,Fgra,15-ADON
44,2010,Vacaria,RS,-28.60075,-51.03706,corn,14,0.63,Fgra,15-ADON
45,2010,Vacaria,RS,-28.60075,-51.03706,corn,2,0.03,Fgra,15-ADON
46,2010,Vacaria,RS,-28.35564,-51.11736,corn,4,0.09,Fcor,NIV
46,2010,Vacaria,RS,-28.63539,-51.08653,corn,4,0.09,Fgra,15-ADON
46,2010,Vacaria,RS,-28.63539,-51.08653,corn,4,0.09,Fgra,15-ADON
46,2010,Vacaria,RS,-28.63539,-51.08653,corn,4,0.09,Fgra,15-ADON
46,2010,Vacaria,RS,-28.35564,-51.11736,corn,4,0.09,Fmer,NIV
46,2010,Vacaria,RS,-28.35564,-51.11736,corn,4,0.09,Fmer,NIV
47,2010,Vacaria,RS,-28.35564,-51.11736,corn,31,2.17,Fgra,15-ADON
47,2010,Vacaria,RS,-28.35564,-51.11736,corn,31,2.17,Fgra,15-ADON
47,2010,Vacaria,RS,-28.35564,-51.11736,corn,31,2.17,Fgra,15-ADON
50,2009,Vacaria,RS,-28.67142,-51.13514,corn,14,0.93,Fcor,NIV
50,2009,Vacaria,RS,-28.30103,-51.46317,corn,14,0.93,Fcor,NIV
50,2009,Vacaria,RS,-28.37,-51.092,corn,14,0.93,Fgra,15-ADON
50,2009,Vacaria,RS,-28.37,-51.092,corn,14,0.93,Fgra,15-ADON
50,2009,Vacaria,RS,-28.37,-51.092,corn,14,0.93,Fgra,15-ADON
50,2009,Vacaria,RS,-28.37,-51.092,corn,14,0.93,Fgra,15-ADON
50,2009,Vacaria,RS,-28.37,-51.092,corn,14,0.93,Fgra,15-ADON
50,2009,Vacaria,RS,-28.285,-52.704,corn,14,0.93,Fgra,15-ADON
50,2009,Vacaria,RS,-28.319,-52.834,corn,14,0.93,Fgra,15-ADON
50,2009,Vacaria,RS,-28.319,-52.834,corn,14,0.93,Fgra,15-ADON
54,2011,Vacaria,RS,-28.30103,-51.46317,soybean,9,0.29,Fgra,15-ADON
56,2011,Vacaria,RS,-28.26994,-51.92253,corn,2.5,0.15,Fcor,NIV
57,2011,Vacaria,RS,-28.31181,-52.80419,corn,6.5,0.51,Fgra,15-ADON
59,2011,Vacaria,RS,-28.26644,-51.66858,corn,1,0.05,Fgra,15-ADON
24,2011,Victor Graeff,RS,-28.37067,-52.98822,soybean,18.5,0.58,Fgra,15-ADON
24,2011,Victor Graeff,RS,-28.37067,-52.98822,soybean,18.5,0.58,Fgra,15-ADON
30,2009,Victor Graeff,RS,-28.319,-52.834,corn,25,1.99,Fgra,15-ADON
31,2009,Victor Graeff,RS,-28.30617,-52.08281,corn,44,4.89,Fgra,15-ADON
31,2009,Victor Graeff,RS,-28.30617,-52.08281,corn,44,4.89,Fgra,15-ADON
31,2009,Victor Graeff,RS,-28.30617,-52.08281,corn,44,4.89,Fgra,15-ADON
