"","field","year","location","state","lat","long","residue","inc","sev","species","genotype","field2"
"125",43,2009,"Carazinho","RS",-28.26,-51.701,"soybean",24,1.27,"Fusarium graminearum","15-ADON",4300
"126",NA,2009,"Cascavel","PR",-24.95583333,-53.45527778,NA,NA,NA,"Fusarium graminearum","15-ADON",NA
"127",NA,2009,"Cascavel","PR",-24.95583333,-53.45527778,NA,NA,NA,"Fusarium graminearum","15-ADON",NA
"128",NA,2009,"Cascavel","PR",-24.95583333,-53.45527778,NA,NA,NA,"Fusarium graminearum","15-ADON",NA
"129",NA,2009,"Cascavel","PR",-24.95583333,-53.45527778,NA,NA,NA,"Fusarium graminearum","15-ADON",NA
"130",NA,2009,"Cascavel","PR",-24.95583333,-53.45527778,NA,NA,NA,"Fusarium graminearum","15-ADON",NA
"131",30,2010,"Caseiros","RS",-28.24789,-51.78397,"corn",37,3.27,"Fusarium graminearum","15-ADON",3000
"132",30,2010,"Caseiros","RS",-28.24789,-51.78397,"corn",37,3.27,"Fusarium graminearum","15-ADON",3000
"133",30,2010,"Caseiros","RS",-27.70072,-52.28536,"corn",37,3.27,"Fusarium meridionale","NIV",3000
"134",31,2010,"Caseiros","RS",-28.24789,-51.78397,"soybean",24.5,2.11,"Fusarium graminearum","15-ADON",3100
"135",31,2010,"Caseiros","RS",-28.24789,-51.78397,"soybean",24.5,2.11,"Fusarium graminearum","15-ADON",3100
"136",31,2010,"Caseiros","RS",-28.26644,-51.66858,"soybean",24.5,2.11,"Fusarium graminearum","15-ADON",3100
"137",31,2010,"Caseiros","RS",-28.26644,-51.66858,"soybean",24.5,2.11,"Fusarium graminearum","15-ADON",3100
"138",31,2010,"Caseiros","RS",-28.17275,-52.31744,"soybean",24.5,2.11,"Fusarium graminearum","15-ADON",3100
"139",32,2010,"Caseiros","RS",-28.32164,-51.23739,"corn",20,1.67,"Faus","3-ADON",3200
"140",32,2010,"Caseiros","RS",-28.17275,-52.31744,"corn",20,1.67,"Fusarium graminearum","15-ADON",3200
"141",32,2010,"Caseiros","RS",-28.17275,-52.31744,"corn",20,1.67,"Fusarium graminearum","15-ADON",3200
"142",32,2010,"Caseiros","RS",-28.14261,-51.69828,"corn",20,1.67,"Fusarium meridionale","NIV",3200
"143",32,2010,"Caseiros","RS",-28.14261,-51.69828,"corn",20,1.67,"Fusarium meridionale","NIV",3200
"144",18,2011,"Colorado","RS",-28.42317,-53.91117,"soybean",17,0.61,"Fusarium graminearum","15-ADON",1800
"145",12,2009,"Condor","RS",-27.764,-53.32,"corn",44,2.24,"Fusarium graminearum","15-ADON",1200
"146",12,2009,"Condor","RS",-27.764,-53.32,"corn",44,2.24,"Fusarium graminearum","15-ADON",1200
"147",13,2009,"Condor","RS",-27.642,-53.327,"soybean",70.5,12.81,"Fusarium graminearum","15-ADON",1300
"148",13,2009,"Condor","RS",-27.642,-53.327,"soybean",70.5,12.81,"Fusarium graminearum","15-ADON",1300
"149",13,2009,"Condor","RS",-27.642,-53.327,"soybean",70.5,12.81,"Fusarium graminearum","15-ADON",1300
"150",13,2009,"Condor","RS",-27.642,-53.327,"soybean",70.5,12.81,"Fusarium graminearum","15-ADON",1300
"151",13,2011,"Condor","RS",-28.52192,-53.79314,"soybean",15,0.35,"Fusarium graminearum","15-ADON",1300
"152",14,2009,"Condor","RS",-27.722,-53.239,"soybean",55,6.24,"Fusarium graminearum","15-ADON",1400
"153",14,2009,"Condor","RS",-27.722,-53.239,"soybean",55,6.24,"Fusarium graminearum","15-ADON",1400
"154",NA,2009,"Corbelia","PR",-24.29277778,-53.3125,NA,NA,NA,"Fusarium meridionale","NIV",NA
"155",NA,2009,"Corbelia","PR",-24.29277778,-53.3125,NA,NA,NA,"Fusarium meridionale","NIV",NA
"156",NA,2009,"Cornelio Procopio","PR",-23.18111111,-50.64666667,NA,NA,NA,"Fusarium graminearum","15-ADON",NA
"157",NA,2009,"Cornelio Procopio","PR",-23.18111111,-50.64666667,NA,NA,NA,"Fusarium graminearum","15-ADON",NA
"158",NA,2009,"Cornelio Procopio","PR",-23.18111111,-50.64666667,NA,NA,NA,"Fusarium graminearum","15-ADON",NA
"159",NA,2009,"Cornelio Procopio","PR",-23.18111111,-50.64666667,NA,NA,NA,"Fusarium graminearum","15-ADON",NA
"160",NA,2009,"Cornelio Procopio","PR",-23.18111111,-50.64666667,NA,NA,NA,"Fusarium graminearum","15-ADON",NA
"161",44,2009,"Coronel Barros","RS",-28.218,-51.579,"corn",8,0.37,"Fusarium graminearum","15-ADON",4400
"162",44,2009,"Coronel Barros","RS",-28.218,-51.579,"corn",8,0.37,"Fusarium graminearum","15-ADON",4400
"163",44,2009,"Coronel Barros","RS",-28.218,-51.579,"corn",8,0.37,"Fusarium graminearum","15-ADON",4400
"164",45,2009,"Coronel Barros","RS",-28.218,-51.509,"soybean",29.5,3.66,"Fusarium graminearum","15-ADON",4500
"165",45,2009,"Coronel Barros","RS",-28.218,-51.509,"soybean",29.5,3.66,"Fusarium graminearum","15-ADON",4500
"166",45,2009,"Coronel Barros","RS",-28.218,-51.509,"soybean",29.5,3.66,"Fusarium graminearum","15-ADON",4500
