"campo","ano","local","estado","lat","long","residuo","inc","sev","especie","index"
14,2009,"Condor","RS",-27.722,-53.239,"soybean",55,6.24,"Fgra",153
NA,2009,"Corbelia","PR",-24.2928,-53.3125,NA,NA,NA,"Fmer",154
NA,2009,"Corbelia","PR",-24.2928,-53.3125,NA,NA,NA,"Fmer",155
NA,2009,"Cornelio Procopio","PR",-23.1811,-50.6467,NA,NA,NA,"Fgra",156
NA,2009,"Cornelio Procopio","PR",-23.1811,-50.6467,NA,NA,NA,"Fgra",157
NA,2009,"Cornelio Procopio","PR",-23.1811,-50.6467,NA,NA,NA,"Fgra",158
NA,2009,"Cornelio Procopio","PR",-23.1811,-50.6467,NA,NA,NA,"Fgra",159
NA,2009,"Cornelio Procopio","PR",-23.1811,-50.6467,NA,NA,NA,"Fgra",160
44,2009,"Coronel Barros","RS",-28.218,-51.579,"corn",8,0.37,"Fgra",161
44,2009,"Coronel Barros","RS",-28.218,-51.579,"corn",8,0.37,"Fgra",162
44,2009,"Coronel Barros","RS",-28.218,-51.579,"corn",8,0.37,"Fgra",163
45,2009,"Coronel Barros","RS",-28.218,-51.509,"soybean",29.5,3.66,"Fgra",164
45,2009,"Coronel Barros","RS",-28.218,-51.509,"soybean",29.5,3.66,"Fgra",165
45,2009,"Coronel Barros","RS",-28.218,-51.509,"soybean",29.5,3.66,"Fgra",166
46,2009,"Coronel Barros","RS",-28.276,-51.467,"soybean",10,0.38,"Fgra",167
10,2010,"Coxilha","RS",-28.1728,-52.3174,"soybean",63.5,13.31,"Fgra",168
10,2010,"Coxilha","RS",-28.1728,-52.3174,"soybean",63.5,13.31,"Fgra",169
10,2010,"Coxilha","RS",-28.1044,-52.2759,"soybean",63.5,13.31,"Fgra",170
10,2010,"Coxilha","RS",-28.1044,-52.2759,"soybean",63.5,13.31,"Fgra",171
10,2010,"Coxilha","RS",-28.1044,-52.2759,"soybean",63.5,13.31,"Fgra",172
11,2010,"Coxilha","RS",-28.1044,-52.2759,"soybean",44.5,4.99,"Fgra",173
11,2010,"Coxilha","RS",-28.1044,-52.2759,"soybean",44.5,4.99,"Fgra",174
11,2010,"Coxilha","RS",-28.1318,-52.2664,"soybean",44.5,4.99,"Fgra",175
11,2010,"Coxilha","RS",-28.1318,-52.2664,"soybean",44.5,4.99,"Fgra",176
11,2010,"Coxilha","RS",-28.1318,-52.2664,"soybean",44.5,4.99,"Fgra",177
18,2010,"Coxilha","RS",-28.1318,-52.2664,"soybean",65.5,3.95,"Fgra",178
18,2010,"Coxilha","RS",-28.1318,-52.2664,"soybean",65.5,3.95,"Fgra",179
